-7.864852668717503548e-04,4.861901048570871353e-03,1.017743229866027832e+00,-4.092500021215528250e-04,9.275462070945650339e-05,-7.054206728935241699e-01,7.087887525558471680e-01,-6.777192652225494385e-02,3.493286296725273132e-02,-3.522286936640739441e-02,1.366925686597824097e-01,-7.710474729537963867e-02,-3.580373898148536682e-02,-5.738271772861480713e-02,-3.466689959168434143e-02,9.908747597364708781e-05,1.143620312213897705e-01,-5.831232666969299316e-02,2.977085672318935394e-02,-1.998285064473748207e-03,-4.325423855334520340e-03,6.498710811138153076e-02,-2.760401368141174316e-02,-2.991222590208053589e-02,1.075690798461437225e-02,-5.735435057431459427e-03,-5.848576501011848450e-02,2.812115661799907684e-02,-3.162243589758872986e-02,-1.084894128143787384e-02,-1.073649269528687000e-03,-1.178757287561893463e-03
-3.420623717829585075e-03,4.738793708384037018e-03,1.017517566680908203e+00,-2.112214453518390656e-03,-6.102141924202442169e-04,-7.034766077995300293e-01,7.107150554656982422e-01,-7.347760349512100220e-02,3.887737914919853210e-02,-4.208329692482948303e-02,1.530408263206481934e-01,-8.370044082403182983e-02,-3.891165181994438171e-02,-5.133429914712905884e-02,-3.030357882380485535e-02,-5.489459261298179626e-03,1.116821467876434326e-01,-5.782632529735565186e-02,2.661656774580478668e-02,2.232928760349750519e-03,-1.408334635198116302e-02,7.993905246257781982e-02,-3.593152388930320740e-02,-7.918908447027206421e-02,-3.690463257953524590e-03,-1.748296432197093964e-02,-6.441056728363037109e-02,3.598206117749214172e-02,-8.871179074048995972e-02,-8.085024892352521420e-04,-3.429881471674889326e-04,-1.184258260764181614e-03
-6.679133046418428421e-03,4.730744753032922745e-03,1.017293930053710938e+00,-4.643122665584087372e-03,-9.716261411085724831e-04,-7.000161409378051758e-01,7.141112685203552246e-01,-8.118131756782531738e-02,4.488133266568183899e-02,-5.336957797408103943e-02,1.725753694772720337e-01,-9.046518057584762573e-02,-4.253892228007316589e-02,-4.084670916199684143e-02,-2.351238951086997986e-02,-1.624894328415393829e-02,1.026638671755790710e-01,-5.450423434376716614e-02,2.258963137865066528e-02,3.292248584330081940e-03,-2.799389697611331940e-02,1.059206649661064148e-01,-5.334126576781272888e-02,-1.378162354230880737e-01,-2.688895165920257568e-02,-3.593801707029342651e-02,-7.009004056453704834e-02,5.035141110420227051e-02,-1.613366901874542236e-01,1.048890128731727600e-02,1.350088976323604584e-03,-7.083843811415135860e-04
-1.285752188414335251e-02,5.003874655812978745e-03,1.017393469810485840e+00,-8.346763439476490021e-03,-1.554809510707855225e-03,-6.934950351715087891e-01,7.204113602638244629e-01,-9.243523329496383667e-02,5.476023629307746887e-02,-7.233457267284393311e-02,1.974653750658035278e-01,-9.431356936693191528e-02,-5.086762085556983948e-02,-3.164647519588470459e-02,-1.197284646332263947e-02,-3.300359472632408142e-02,1.017219945788383484e-01,-5.613516271114349365e-02,1.503776852041482925e-02,5.040652118623256683e-03,-4.914484545588493347e-02,1.480310112237930298e-01,-8.467957377433776855e-02,-2.134861201047897339e-01,-5.272888764739036560e-02,-6.662163138389587402e-02,-7.606813311576843262e-02,7.240039855241775513e-02,-2.594571709632873535e-01,1.619063876569271088e-02,7.378938142210245132e-03,1.023161807097494602e-03
-1.934399642050266266e-02,5.448088049888610840e-03,1.017641067504882812e+00,-9.275081567466259003e-03,-2.027513459324836731e-03,-6.870104670524597168e-01,7.265854477882385254e-01,-9.381237626075744629e-02,6.159323081374168396e-02,-8.695030957460403442e-02,1.942541450262069702e-01,-8.655728399753570557e-02,-6.136182695627212524e-02,-2.695305272936820984e-02,-4.294745158404111862e-03,-4.943506792187690735e-02,1.002133935689926147e-01,-5.724893510341644287e-02,7.641924545168876648e-03,7.043285295367240906e-03,-6.710259616374969482e-02,1.806923896074295044e-01,-1.100709065794944763e-01,-2.738768756389617920e-01,-6.301680952310562134e-02,-9.385409951210021973e-02,-8.136375993490219116e-02,8.899398893117904663e-02,-3.339002132415771484e-01,1.559571456164121628e-02,1.133577618747949600e-02,2.105960855260491371e-03
-2.718116715550422668e-02,6.079519633203744888e-03,1.017207503318786621e+00,-6.776999216526746750e-03,-2.121870405972003937e-03,-6.791108846664428711e-01,7.340013384819030762e-01,-9.363739937543869019e-02,6.439345329999923706e-02,-1.070558279752731323e-01,1.759322434663772583e-01,-7.347190380096435547e-02,-6.626851856708526611e-02,-2.721181139349937439e-02,-1.128693766077049077e-04,-6.826727092266082764e-02,9.768334776163101196e-02,-5.814645439386367798e-02,-6.909929215908050537e-04,1.020616386085748672e-02,-8.620721846818923950e-02,2.130281627178192139e-01,-1.359241902828216553e-01,-3.325552046298980713e-01,-6.789306551218032837e-02,-1.254300475120544434e-01,-8.747276663780212402e-02,1.032187640666961670e-01,-4.114493727684020996e-01,1.050429325550794601e-02,1.427229773253202438e-02,2.292225603014230728e-03
-3.432802855968475342e-02,1.395465061068534851e-02,1.016686677932739258e+00,2.119747659889981151e-04,-2.897731494158506393e-03,-6.641923189163208008e-01,7.475560903549194336e-01,-1.115910261869430542e-01,6.169124692678451538e-02,-1.315037310123443604e-01,1.693423837423324585e-01,-4.974162206053733826e-02,-7.817633450031280518e-02,-6.791241466999053955e-02,-1.020262576639652252e-02,-9.370802342891693115e-02,1.536898165941238403e-01,-8.333992213010787964e-02,-1.023417105898261070e-03,6.694824900478124619e-03,-1.129053011536598206e-01,2.551015317440032959e-01,-1.718641817569732666e-01,-4.070422053337097168e-01,-7.171649485826492310e-02,-1.736568659543991089e-01,-9.804721176624298096e-02,1.160845682024955750e-01,-5.170849561691284180e-01,7.815005374141037464e-04,2.723156474530696869e-02,6.476367707364261150e-04
-4.026817530393600464e-02,1.967545785009860992e-02,1.016323804855346680e+00,7.250902708619832993e-03,-2.821814501658082008e-03,-6.513341665267944336e-01,7.587510943412780762e-01,-1.497275829315185547e-01,6.502917408943176270e-02,-1.534409672021865845e-01,1.975794136524200439e-01,-3.485102578997612000e-02,-1.311460286378860474e-01,-1.090453267097473145e-01,-2.158834412693977356e-02,-1.107611209154129028e-01,2.107535451650619507e-01,-1.104416325688362122e-01,-5.433186888694763184e-03,6.171210668981075287e-03,-1.337367892265319824e-01,2.862787842750549316e-01,-1.998715549707412720e-01,-4.634006917476654053e-01,-7.359503209590911865e-02,-2.146440446376800537e-01,-1.092709377408027649e-01,1.204733625054359436e-01,-6.012036800384521484e-01,-6.466400343924760818e-03,3.868907690048217773e-02,-2.774030435830354691e-03
-4.642669111490249634e-02,2.514733560383319855e-02,1.015926361083984375e+00,1.489982288330793381e-02,-3.122405149042606354e-03,-6.342862844467163086e-01,7.729483246803283691e-01,-1.992110311985015869e-01,6.575921922922134399e-02,-1.700877547264099121e-01,2.383868098258972168e-01,-2.261610329151153564e-02,-1.933737695217132568e-01,-1.434835344552993774e-01,-3.701057285070419312e-02,-1.379597932100296021e-01,2.573856711387634277e-01,-1.334586441516876221e-01,-9.154499508440494537e-03,1.509536174125969410e-03,-1.541271358728408813e-01,3.189569115638732910e-01,-2.300479561090469360e-01,-5.199100971221923828e-01,-7.741645723581314087e-02,-2.582699358463287354e-01,-1.226623803377151489e-01,1.174002885818481445e-01,-6.875108480453491211e-01,-1.611424982547760010e-02,5.094214901328086853e-02,-8.637213148176670074e-03
-5.373629555106163025e-02,3.254615887999534607e-02,1.015334725379943848e+00,2.398600056767463684e-02,-6.363443098962306976e-03,-6.065751910209655762e-01,7.946387529373168945e-01,-2.615169286727905273e-01,6.629036366939544678e-02,-1.579298377037048340e-01,2.927457094192504883e-01,-2.030783146619796753e-02,-2.705447375774383545e-01,-1.774558722972869873e-01,-6.574186682701110840e-02,-1.850277334451675415e-01,3.122377991676330566e-01,-1.611679047346115112e-01,-1.151981856673955917e-02,-1.182254031300544739e-02,-1.783934682607650757e-01,3.643356561660766602e-01,-2.752114236354827881e-01,-5.942897796630859375e-01,-8.469235152006149292e-02,-3.187437355518341064e-01,-1.478335559368133545e-01,1.051617264747619629e-01,-8.067901134490966797e-01,-2.199448831379413605e-02,6.692908704280853271e-02,-1.952084153890609741e-02
